,Network,Station,Latitude,Longitude,Distance,Azimuth
0,TA,034A,27.064699,-98.683296,67.58271,157.6046
1,TA,035A,26.937901,-98.102303,67.26943,158.04862
2,TA,035Z,26.462999,-98.068298,66.81853,158.0007
3,TA,109C,32.888901,-117.105103,80.35951,145.0591
4,TA,113A,32.768299,-113.766701,78.69167,147.29046
5,TA,121A,32.532398,-107.785103,75.91313,151.47528
6,TA,127A,32.676399,-103.357498,74.34805,154.7675
7,TA,128A,32.6213,-102.485001,73.98756,155.42158
8,TA,129A,32.630901,-101.866203,73.78064,155.89427
9,TA,130A,32.5961,-100.965202,73.44183,156.58112
10,TA,131A,32.673698,-100.388802,73.32115,157.03495
11,TA,133A,32.608299,-98.916199,72.78645,158.17282
12,TA,134A,32.572899,-98.079498,72.49417,158.82554
13,TA,135A,32.557301,-97.409897,72.27741,159.35241
14,TA,137A,32.597301,-95.755898,71.83667,160.67377
15,TA,138A,32.6604,-95.088699,71.71205,161.21608
16,TA,214A,31.9559,-112.811501,77.57276,147.85408
17,TA,228A,32.118,-102.591797,73.5686,155.27934
18,TA,229A,31.9671,-101.810699,73.15651,155.85615
19,TA,230A,31.8878,-101.112396,72.84325,156.38215
20,TA,231A,31.935301,-100.316299,72.61838,157.00273
21,TA,232A,31.888,-99.646896,72.35432,157.51702
22,TA,233A,32.017899,-98.899803,72.23414,158.11639
23,TA,234A,32.004002,-98.136803,71.9823,158.71438
24,TA,237A,32.001499,-95.808403,71.29026,160.56577
25,TA,238A,32.003399,-95.1203,71.09981,161.11927
26,TA,239A,32.017899,-94.470703,70.93699,161.64564
27,TA,319A,31.3757,-109.280899,75.52476,150.25645
28,TA,329A,31.487,-101.980797,72.77906,155.66569
29,TA,330A,31.4063,-101.175201,72.42452,156.27334
30,TA,331A,31.3085,-100.426598,72.07963,156.83908
31,TA,332A,31.3829,-99.742302,71.91986,157.38025
32,TA,333A,31.3249,-98.9841,71.61937,157.96574
33,TA,334A,31.3325,-98.2379,71.38941,158.55368
34,TA,335A,31.2819,-97.427101,71.09162,159.18932
35,TA,336A,31.386999,-96.844299,71.01426,159.66584
36,TA,337A,31.315901,-95.885399,70.66699,160.42504
37,TA,338A,31.356701,-95.3106,70.54219,160.8926
38,TA,339A,31.333099,-94.556,70.31135,161.50039
39,TA,340A,31.4167,-93.889603,70.21201,162.05155
40,TA,429A,30.6248,-101.893799,71.96406,155.61927
41,TA,430A,30.7866,-101.236198,71.87957,156.14589
42,TA,431A,30.6824,-100.607903,71.56707,156.6174
43,TA,432A,30.8755,-99.793701,71.46947,157.27549
44,TA,433A,30.7544,-99.091003,71.12632,157.8095
45,TA,434A,30.814199,-98.268997,70.91773,158.46433
46,TA,435B,30.7827,-97.584999,70.67451,159.00218
47,TA,436A,30.770201,-96.795998,70.42247,159.62938
48,TA,437A,30.829201,-96.138603,70.28295,160.16343
49,TA,438A,30.75,-95.474098,70.01647,160.68909
50,TA,529A,30.124599,-102.220398,71.62731,155.30113
51,TA,530A,30.148899,-101.337898,71.33342,155.98155
52,TA,531A,30.164499,-100.546402,71.07142,156.59558
53,TA,532A,30.1278,-99.9049,70.81875,157.08975
54,TA,533A,30.0718,-99.035103,70.47717,157.76359
55,TA,534A,30.0284,-98.475304,70.25465,158.1991
56,TA,535A,30.028999,-97.571098,69.96794,158.9165
57,TA,536A,30.0756,-97.065201,69.85475,159.32623
58,TA,537A,30.079901,-96.315498,69.63206,159.92798
59,TA,538A,30.221901,-95.489998,69.5236,160.61178
60,TA,631A,29.4123,-100.575897,70.3929,156.46802
61,TA,632A,29.507099,-99.786301,70.20781,157.09697
62,TA,633A,29.459101,-99.176598,69.95829,157.5686
63,TA,634A,29.3815,-98.351501,69.61498,158.2094
64,TA,635A,29.387699,-97.773598,69.43499,158.66946
65,TA,636A,29.481001,-97.056999,69.29702,159.25454
66,TA,732A,28.7292,-99.970703,69.55649,156.84129
67,TA,733A,28.7192,-99.2939,69.31554,157.37112
68,TA,734A,28.8473,-98.557602,69.18772,157.97119
69,TA,735A,28.855301,-97.808098,68.95117,158.56825
70,TA,738A,28.840401,-95.648102,68.27017,160.30536
71,TA,832A,28.284401,-99.974297,69.14967,156.77252
72,TA,833A,28.323601,-99.393898,68.9853,157.23428
73,TA,834A,28.125099,-98.551903,68.51785,157.8708
74,TA,835A,28.287001,-97.829697,68.43031,158.4699
75,TA,933A,27.6133,-99.274597,68.2907,157.22096
76,TA,934A,27.601801,-98.519203,68.0232,157.81823
77,TA,936A,27.420799,-97.309097,67.45686,158.7597
78,TA,A19A,48.9286,-108.742897,90.69038,151.69695
79,TA,A20A,48.879902,-107.925697,90.39408,152.3092
80,TA,A21A,48.991199,-106.9254,90.19008,153.06112
81,TA,A22A,48.992599,-105.915298,89.89365,153.82383
82,TA,A23A,48.959202,-104.878601,89.56624,154.60969
83,TA,A24A,48.923901,-104.001801,89.28924,155.27668
84,TA,A25A,48.938801,-103.112801,89.0606,155.95551
85,TA,A26A,48.897301,-102.038002,88.73815,156.77877
86,TA,A27A,48.9533,-101.2407,88.58484,157.3924
87,TA,A28A,48.909599,-100.266899,88.30122,158.14315
88,TA,A29A,48.922798,-99.232101,88.06363,158.9444
89,TA,A30A,48.940201,-98.300903,87.86275,159.66796
90,TA,ABTX,32.623798,-99.643097,73.03214,157.60751
91,TA,B19A,48.455101,-108.944298,90.33722,151.54822
92,TA,B20A,48.4389,-108.020897,90.03306,152.23831
93,TA,B21A,48.427799,-107.016602,89.71532,152.99187
94,TA,B22A,48.3008,-105.996399,89.29665,153.75992
95,TA,B23A,48.464298,-104.990898,89.1512,154.52176
96,TA,B25A,48.271599,-103.161301,88.46442,155.91216
97,TA,B26A,48.376202,-102.2341,88.31094,156.62272
98,TA,B27A,48.4044,-101.260002,88.08297,157.37109
99,TA,B28A,48.4492,-100.361603,87.89736,158.06405
100,TA,B29A,48.464901,-99.3535,87.66533,158.8439
101,TA,B30A,48.4505,-98.328598,87.40986,159.63914
102,TA,BGNE,41.408298,-98.1502,80.76604,159.52007
103,TA,BRSD,44.443001,-98.956299,83.8131,159.04178
104,TA,C19A,47.734299,-109.048897,89.73717,151.47005
105,TA,C20A,47.713299,-108.004204,89.38571,152.24859
106,TA,C21A,47.826401,-107.096001,89.20383,152.92926
107,TA,C22A,47.745602,-105.884102,88.76515,153.84015
108,TA,C23A,47.802601,-105.184402,88.61014,154.36921
109,TA,C24A,47.530201,-104.425201,88.1441,154.94077
110,TA,C25A,47.712399,-103.255798,87.97998,155.83264
111,TA,C26A,47.825901,-102.095703,87.76879,156.721
112,TA,C27A,47.713902,-101.502899,87.509,157.17376
113,TA,C28A,47.715698,-100.3871,87.22332,158.0323
114,TA,C30A,47.702599,-98.478302,86.74392,159.50911
115,TA,D19A,47.1646,-108.879997,89.1817,151.59262
116,TA,D20A,47.091099,-108.1362,88.87722,152.1453
117,TA,D21A,47.0658,-106.993896,88.49482,152.99837
118,TA,D22A,47.149799,-106.179703,88.31979,153.61048
119,TA,D23A,47.173,-105.2071,88.0492,154.34373
120,TA,D24A,47.1152,-104.327003,87.73976,155.00866
121,TA,D25A,47.150799,-103.320297,87.48566,155.77407
122,TA,D26A,47.030102,-102.435699,87.1303,156.44635
